,Estado_x,Cargo,Nome_candidato,CPF,Nome_urna,Partido,Situacao,Nome,Nome_consulta_bancada,Estado_y,Cargo_bancada_novembro,Partido_novembro,Nome_consulta_Frente_Ambientalista
550,,,,,,,,Garibaldi Alves Filho,GARIBALDI ALVES FILHO,RN,,PMDB,DIEGO GARCIA
551,,,,,,,,José Maranhão,JOSÉ MARANHÃO,PB,,PMDB,DILCEU SPERAFICO
552,,,,,,,,Evandro Gussi ,EVANDRO GUSSI ,SP,Vice-Presidente Sudeste,PV,DIMAS FABIANO
553,,,,,,,,ADÉRMIS MARINI,ADÉRMIS MARINI,SP,,PSDB,DOMINGOS NETO
554,,,,,,,,ANTONIO CARLOS MENDES THAME,ANTONIO CARLOS MENDES THAME,SP,,PV,DR. SINVAL MALHEIROS
555,,,,,,,,BONIFÁCIO DE ANDRADA,BONIFÁCIO DE ANDRADA,MG,,PSDB,EDMILSON RODRIGUES
556,,,,,,,,CELSO JACOB,CELSO JACOB,RJ,,PMDB,EDUARDO DA FONTE
557,,,,,,,,FÁBIO RAMALHO,FÁBIO RAMALHO,MG,,PMDB,EVAIR VIEIRA DE MELO
558,,,,,,,,JAIME MARTINS,JAIME MARTINS,MG,,PSD,FÁBIO RAMALHO
559,,,,,,,,JÚLIO DELGADO,JÚLIO DELGADO,MG,,PSB,FABIO REIS
560,,,,,,,,MARCELO ÁLVARO ANTÔNIO,MARCELO ÁLVARO ANTÔNIO,MG,,PR,FÉLIX MENDONÇA JÚNIOR
561,,,,,,,,MÁRIO HERINGER,MÁRIO HERINGER,MG,,PDT,FRANCISCO CHAPADINHA
562,,,,,,,,SILAS BRASILEIRO,SILAS BRASILEIRO,MG,,PMDB,GOULART
563,,,,,,,,Antonio Anastasia,ANTONIO ANASTASIA,MG,,PSDB,HERCULANO PASSOS
564,,,,,,,,Magno Malta,MAGNO MALTA,ES,,PR,HERMES PARCIANELLO
565,,,,,,,,Rose de Freitas,ROSE DE FREITAS,ES,,PMDB,HEULER CRUVINEL
566,,,,,,,,Alceu Moreira ,ALCEU MOREIRA ,RS,Vice-Presidente Sul,PMDB,HILDO ROCHA
567,,,,,,,,EDINHO BEZ,EDINHO BEZ,SC,,PMDB,JAIR BOLSONARO
568,,,,,,,,MAURO PEREIRA,MAURO PEREIRA,RS,,PMDB,JOÃO MARCELO SOUZA
569,,,,,,,,REINHOLD STEPHANES,REINHOLD STEPHANES,PR,,PSD,JORGE BOEIRA
570,,,,,,,,Álvaro Dias,ÁLVARO DIAS,PR,,PSDB,JOSÉ GUIMARÃES
571,,,,,,,,Ana Amélia,ANA AMÉLIA,RS,,PP,JOSÉ MENTOR
572,,,,,,,,Dário Berger,DÁRIO BERGER,SC,,PMDB,JOSÉ NUNES
573,,,,,,,,Paulo Bauer,PAULO BAUER,SC,,PSDB,JOSÉ OTÁVIO GERMANO
574,,,,,,,,,,,,,JOSÉ PRIANTE
575,,,,,,,,,,,,,JOSÉ REINALDO
576,,,,,,,,,,,,,JOSÉ ROCHA
577,,,,,,,,,,,,,JOSE STÉDILE
578,,,,,,,,,,,,,JOSI NUNES
579,,,,,,,,,,,,,JOSUÉ BENGTSON
580,,,,,,,,,,,,,JOVAIR ARANTES
581,,,,,,,,,,,,,JOZI ARAÚJO
582,,,,,,,,,,,,,JÚLIA MARINHO
583,,,,,,,,,,,,,JULIÃO AMIN
584,,,,,,,,,,,,,JÚLIO CESAR
585,,,,,,,,,,,,,JÚLIO DELGADO
586,,,,,,,,,,,,,JULIO LOPES
587,,,,,,,,,,,,,JUNIOR MARRECA
588,,,,,,,,,,,,,JUSCELINO FILHO
589,,,,,,,,,,,,,JUTAHY JUNIOR
590,,,,,,,,,,,,,KAIO MANIÇOBA
591,,,,,,,,,,,,,KEIKO OTA
592,,,,,,,,,,,,,LAERCIO OLIVEIRA
593,,,,,,,,,,,,,LAERTE BESSA
594,,,,,,,,,,,,,LAUDIVIO CARVALHO
595,,,,,,,,,,,,,LAURA CARNEIRO
596,,,,,,,,,,,,,LÁZARO BOTELHO
597,,,,,,,,,,,,,LEANDRE
598,,,,,,,,,,,,,LELO COIMBRA
599,,,,,,,,,,,,,LEO DE BRITO
600,,,,,,,,,,,,,LEONARDO MONTEIRO
601,,,,,,,,,,,,,LEONARDO QUINTÃO
602,,,,,,,,,,,,,LEÔNIDAS CRISTINO
603,,,,,,,,,,,,,LEOPOLDO MEYER
604,,,,,,,,,,,,,LINCOLN PORTELA
605,,,,,,,,,,,,,LINDOMAR GARÇON
606,,,,,,,,,,,,,LOBBE NETO
607,,,,,,,,,,,,,LOURIVAL GOMES
608,,,,,,,,,,,,,LUANA COSTA
609,,,,,,,,,,,,,LUCAS VERGILIO
610,,,,,,,,,,,,,LUCIANA SANTOS
611,,,,,,,,,,,,,LUCIANO DUCCI
612,,,,,,,,,,,,,LUCIO MOSQUINI
613,,,,,,,,,,,,,LÚCIO VALE
614,,,,,,,,,,,,,LUCIO VIEIRA LIMA
615,,,,,,,,,,,,,LUIS CARLOS HEINZE
616,,,,,,,,,,,,,LUIS TIBÉ
617,,,,,,,,,,,,,LUIZ CARLOS HAULY
618,,,,,,,,,,,,,LUIZ CLÁUDIO
619,,,,,,,,,,,,,LUIZ COUTO
620,,,,,,,,,,,,,LUIZ FERNANDO FARIA
621,,,,,,,,,,,,,LUIZ LAURO FILHO
622,,,,,,,,,,,,,LUIZ NISHIMORI
623,,,,,,,,,,,,,LUIZ SÉRGIO
624,,,,,,,,,,,,,LUIZA ERUNDINA
625,,,,,,,,,,,,,LUIZIANNE LINS
626,,,,,,,,,,,,,MACEDO
627,,,,,,,,,,,,,MAGDA MOFATTO
628,,,,,,,,,,,,,MAIA FILHO
629,,,,,,,,,,,,,MAJOR OLIMPIO
630,,,,,,,,,,,,,MANDETTA
631,,,,,,,,,,,,,MARA GABRILLI
632,,,,,,,,,,,,,MARCELO AGUIAR
633,,,,,,,,,,,,,MARCELO ÁLVARO ANTÔNIO
634,,,,,,,,,,,,,MARCELO ARO
635,,,,,,,,,,,,,MARCELO CASTRO
636,,,,,,,,,,,,,MARCELO DELAROLI
637,,,,,,,,,,,,,MARCELO MATOS
638,,,,,,,,,,,,,MARCELO SQUASSONI
639,,,,,,,,,,,,,MARCIO ALVINO
640,,,,,,,,,,,,,MÁRCIO MARINHO
641,,,,,,,,,,,,,MARCO ANTÔNIO CABRAL
642,,,,,,,,,,,,,MARCO MAIA
643,,,,,,,,,,,,,MARCO TEBALDI
644,,,,,,,,,,,,,MARCON
645,,,,,,,,,,,,,MARCOS ABRÃO
646,,,,,,,,,,,,,MARCOS MONTES
647,,,,,,,,,,,,,MARCOS REATEGUI
648,,,,,,,,,,,,,MARCOS ROGÉRIO
649,,,,,,,,,,,,,MARCOS SOARES
650,,,,,,,,,,,,,MARCUS PESTANA
651,,,,,,,,,,,,,MARCUS VICENTE
652,,,,,,,,,,,,,MARGARIDA SALOMÃO
653,,,,,,,,,,,,,MARIA DO ROSÁRIO
654,,,,,,,,,,,,,MARIA HELENA
655,,,,,,,,,,,,,MARIANA CARVALHO
656,,,,,,,,,,,,,MARINALDO ROSENDO
657,,,,,,,,,,,,,MARINHA RAUPP
658,,,,,,,,,,,,,MÁRIO HERINGER
659,,,,,,,,,,,,,MÁRIO NEGROMONTE JR.
660,,,,,,,,,,,,,MAURO LOPES
661,,,,,,,,,,,,,MAURO MARIANI
662,,,,,,,,,,,,,MAURO PEREIRA
663,,,,,,,,,,,,,MIGUEL HADDAD
664,,,,,,,,,,,,,MIGUEL LOMBARDI
665,,,,,,,,,,,,,MILTON MONTI
666,,,,,,,,,,,,,MIRO TEIXEIRA
667,,,,,,,,,,,,,MISAEL VARELLA
668,,,,,,,,,,,,,MISSIONÁRIO JOSÉ OLIMPIO
669,,,,,,,,,,,,,MOISÉS DINIZ
670,,,,,,,,,,,,,MOSES RODRIGUES
671,,,,,,,,,,,,,NELSON MARQUEZELLI
672,,,,,,,,,,,,,NELSON MEURER
673,,,,,,,,,,,,,NELSON PADOVANI
674,,,,,,,,,,,,,NELSON PELLEGRINO
675,,,,,,,,,,,,,NEWTON CARDOSO JR
676,,,,,,,,,,,,,NILSON LEITÃO
677,,,,,,,,,,,,,NILSON PINTO
678,,,,,,,,,,,,,NILTO TATTO
679,,,,,,,,,,,,,NILTON CAPIXABA
680,,,,,,,,,,,,,NIVALDO ALBUQUERQUE
681,,,,,,,,,,,,,NORMA AYUB
682,,,,,,,,,,,,,ODORICO MONTEIRO
683,,,,,,,,,,,,,ONYX LORENZONI
684,,,,,,,,,,,,,ORLANDO SILVA
685,,,,,,,,,,,,,OSMAR BERTOLDI
686,,,,,,,,,,,,,OSMAR SERRAGLIO
687,,,,,,,,,,,,,OTAVIO LEITE
688,,,,,,,,,,,,,PADRE JOÃO
689,,,,,,,,,,,,,PAES LANDIM
690,,,,,,,,,,,,,PASTOR EURICO
691,,,,,,,,,,,,,PASTOR LUCIANO BRAGA
692,,,,,,,,,,,,,PATRUS ANANIAS
693,,,,,,,,,,,,,PAUDERNEY AVELINO
694,,,,,,,,,,,,,PAULÃO
695,,,,,,,,,,,,,PAULO ABI-ACKEL
696,,,,,,,,,,,,,PAULO AZI
697,,,,,,,,,,,,,PAULO FEIJÓ
698,,,,,,,,,,,,,PAULO FOLETTO
699,,,,,,,,,,,,,PAULO FREIRE
700,,,,,,,,,,,,,PAULO MAGALHÃES
701,,,,,,,,,,,,,PAULO MALUF
702,,,,,,,,,,,,,PAULO PEREIRA DA SILVA
703,,,,,,,,,,,,,PAULO PIMENTA
704,,,,,,,,,,,,,PAULO TEIXEIRA
705,,,,,,,,,,,,,PEDRO CHAVES
706,,,,,,,,,,,,,PEDRO CUNHA LIMA
707,,,,,,,,,,,,,PEDRO FERNANDES
708,,,,,,,,,,,,,PEDRO PAULO
709,,,,,,,,,,,,,PEDRO UCZAI
710,,,,,,,,,,,,,PEDRO VILELA
711,,,,,,,,,,,,,PEPE VARGAS
712,,,,,,,,,,,,,POLLYANA GAMA
713,,,,,,,,,,,,,POMPEO DE MATTOS
714,,,,,,,,,,,,,PR. MARCO FELICIANO
715,,,,,,,,,,,,,PROFESSOR VICTÓRIO GALLI
716,,,,,,,,,,,,,PROFESSORA DORINHA
717,,,,,,,,,,,,,SEABRA REZENDE
718,,,,,,,,,,,,,PROFESSORA MARCIVANIA
719,,,,,,,,,,,,,RAFAEL MOTTA
720,,,,,,,,,,,,,RAIMUNDO GOMES DE MATOS
721,,,,,,,,,,,,,RAQUEL MUNIZ
722,,,,,,,,,,,,,REGINALDO LOPES
723,,,,,,,,,,,,,REINHOLD STEPHANES
724,,,,,,,,,,,,,REMÍDIO MONAI
725,,,,,,,,,,,,,RENATA ABREU
726,,,,,,,,,,,,,RENATO ANDRADE
727,,,,,,,,,,,,,RENATO MOLLING
728,,,,,,,,,,,,,RENZO BRAZ
729,,,,,,,,,,,,,RICARDO IZAR
730,,,,,,,,,,,,,RICARDO TEOBALDO
731,,,,,,,,,,,,,RICARDO TRIPOLI
732,,,,,,,,,,,,,ROBERTO ALVES
733,,,,,,,,,,,,,ROBERTO BALESTRA
734,,,,,,,,,,,,,ROBERTO BRITTO
735,,,,,,,,,,,,,ROBERTO DE LUCENA
736,,,,,,,,,,,,,ROBERTO GÓES
737,,,,,,,,,,,,,ROBERTO SALES
738,,,,,,,,,,,,,ROBINSON ALMEIDA
739,,,,,,,,,,,,,ROCHA
740,,,,,,,,,,,,,RODRIGO DE CASTRO
741,,,,,,,,,,,,,RODRIGO MAIA
742,,,,,,,,,,,,,RODRIGO MARTINS
743,,,,,,,,,,,,,RODRIGO PACHECO
744,,,,,,,,,,,,,ROGÉRIO MARINHO
745,,,,,,,,,,,,,ROGÉRIO PENINHA MENDONÇA
746,,,,,,,,,,,,,ROGÉRIO ROSSO
747,,,,,,,,,,,,,RÔMULO GOUVEIA
748,,,,,,,,,,,,,RONALDO BENEDET
749,,,,,,,,,,,,,RONALDO CARLETTO
750,,,,,,,,,,,,,RONALDO FONSECA
751,,,,,,,,,,,,,RONALDO LESSA
752,,,,,,,,,,,,,RONALDO MARTINS
753,,,,,,,,,,,,,RÔNEY NEMER
754,,,,,,,,,,,,,ROSANGELA GOMES
755,,,,,,,,,,,,,ROSINHA DA ADEFAL
756,,,,,,,,,,,,,RUBENS BUENO
757,,,,,,,,,,,,,RUBENS OTONI
758,,,,,,,,,,,,,RUBENS PEREIRA JÚNIOR
759,,,,,,,,,,,,,SABINO CASTELO BRANCO
760,,,,,,,,,,,,,SÁGUAS MORAES
761,,,,,,,,,,,,,SANDRO ALEX
762,,,,,,,,,,,,,SARAIVA FELIPE
763,,,,,,,,,,,,,SÉRGIO BRITO
764,,,,,,,,,,,,,SÉRGIO MORAES
765,,,,,,,,,,,,,SÉRGIO REIS
766,,,,,,,,,,,,,SERGIO SOUZA
767,,,,,,,,,,,,,SERGIO VIDIGAL
768,,,,,,,,,,,,,SERGIO ZVEITER
769,,,,,,,,,,,,,SEVERINO NINHO
770,,,,,,,,,,,,,SHÉRIDAN
771,,,,,,,,,,,,,SILAS CÂMARA
772,,,,,,,,,,,,,SILAS FREIRE
773,,,,,,,,,,,,,SILVIO COSTA
774,,,,,,,,,,,,,SILVIO TORRES
775,,,,,,,,,,,,,SIMÃO SESSIM
776,,,,,,,,,,,,,SIMONE MORGADO
777,,,,,,,,,,,,,SORAYA SANTOS
778,,,,,,,,,,,,,SÓSTENES CAVALCANTE
779,,,,,,,,,,,,,STEFANO AGUIAR
780,,,,,,,,,,,,,SUBTENENTE GONZAGA
781,,,,,,,,,,,,,TADEU ALENCAR
782,,,,,,,,,,,,,TAKAYAMA
783,,,,,,,,,,,,,TENENTE LÚCIO
784,,,,,,,,,,,,,TEREZA CRISTINA
785,,,,,,,,,,,,,THIAGO PEIXOTO
786,,,,,,,,,,,,,TIA ERON
787,,,,,,,,,,,,,TIRIRICA
788,,,,,,,,,,,,,TONINHO PINHEIRO
789,,,,,,,,,,,,,TONINHO WANDSCHEER
790,,,,,,,,,,,,,ULDURICO JUNIOR
791,,,,,,,,,,,,,VAIDON OLIVEIRA
792,,,,,,,,,,,,,VALADARES FILHO
793,,,,,,,,,,,,,VALDIR COLATTO
794,,,,,,,,,,,,,VALMIR ASSUNÇÃO
795,,,,,,,,,,,,,VALMIR PRASCIDELLI
796,,,,,,,,,,,,,VALTENIR PEREIRA
797,,,,,,,,,,,,,VANDER LOUBET
798,,,,,,,,,,,,,VANDERLEI MACRIS
799,,,,,,,,,,,,,VENEZIANO VITAL DO RÊGO
800,,,,,,,,,,,,,VICENTE ARRUDA
801,,,,,,,,,,,,,VICENTE CANDIDO
802,,,,,,,,,,,,,VICENTINHO
803,,,,,,,,,,,,,VICENTINHO JÚNIOR
804,,,,,,,,,,,,,VICTOR MENDES
805,,,,,,,,,,,,,VINICIUS CARVALHO
806,,,,,,,,,,,,,VINICIUS GURGEL
807,,,,,,,,,,,,,VITOR LIPPI
808,,,,,,,,,,,,,VITOR VALIM
809,,,,,,,,,,,,,WADIH DAMOUS
810,,,,,,,,,,,,,WALDENOR PEREIRA
811,,,,,,,,,,,,,WALDIR MARANHÃO
812,,,,,,,,,,,,,WALNEY ROCHA
813,,,,,,,,,,,,,WALTER ALVES
814,,,,,,,,,,,,,WALTER IHOSHI
815,,,,,,,,,,,,,WELITON PRADO
816,,,,,,,,,,,,,WELLINGTON ROBERTO
817,,,,,,,,,,,,,WEVERTON ROCHA
818,,,,,,,,,,,,,WILSON BESERRA
819,,,,,,,,,,,,,WILSON FILHO
820,,,,,,,,,,,,,WLADIMIR COSTA
821,,,,,,,,,,,,,WOLNEY QUEIROZ
822,,,,,,,,,,,,,YEDA CRUSIUS
823,,,,,,,,,,,,,ZÉ AUGUSTO NALIN
824,,,,,,,,,,,,,ZÉ CARLOS
825,,,,,,,,,,,,,ZÉ GERALDO
826,,,,,,,,,,,,,ZÉ SILVA
827,,,,,,,,,,,,,ZECA CAVALCANTI
828,,,,,,,,,,,,,ZECA DIRCEU
829,,,,,,,,,,,,,ZECA DO PT
830,,,,,,,,,,,,,ZENAIDE MAIA
